t,x
0.0,270.0
0.01670336541427602,270.0
0.03340673082855204,270.0
0.05011009624282806,270.0
0.06681346165710408,512.0
0.08351682707138011,233.5
0.10022019248565614,223.5
0.11692355789993217,215.5
0.1336269233142082,207.5
0.15033028872848422,199.5
0.16703365414276025,196.0
0.18373701955703628,227.0
0.2004403849713123,223.0
0.21714375038558834,223.5
0.23384711579986436,220.5
0.25055048121414036,151.0
0.2672538466284164,148.5
0.2839572120426924,146.0
0.30066057745696845,144.0
0.3173639428712445,143.0
0.3340673082855205,143.0
0.35077067369979653,143.0
0.36747403911407256,144.0
0.3841774045283486,146.0
0.4008807699426246,148.0
0.41758413535690064,151.5
0.43428750077117667,155.0
0.4509908661854527,160.0
0.4676942315997287,164.0
0.48439759701400475,169.0
0.5011009624282807,175.5
0.5178043278425567,182.5
0.5345076932568327,189.5
0.5512110586711086,197.0
0.5679144240853846,204.5
0.5846177894996606,212.5
0.6013211549139366,222.0
0.6180245203282125,230.0
0.6347278857424885,240.0
0.6514312511567645,248.0
0.6681346165710405,258.0
0.6848379819853164,268.0
0.7015413473995924,277.5
0.7182447128138684,288.0
0.7349480782281443,297.5
0.7516514436424203,306.5
0.7683548090566963,316.5
0.7850581744709723,326.0
0.8017615398852482,335.0
0.8184649052995242,344.5
0.8351682707138002,352.5
0.8518716361280761,361.0
0.8685750015423521,368.5
0.8852783669566281,376.5
0.9019817323709041,383.5
0.91868509778518,390.5
0.935388463199456,396.5
0.952091828613732,401.5
0.968795194028008,407.0
0.9854985594422839,411.5
1.00220192485656,415.5
1.018905290270836,418.0
1.035608655685112,421.5
1.0523120210993882,423.5
1.0690153865136642,424.0
1.0857187519279403,425.5
1.1024221173422164,426.0
1.1191254827564925,425.0
1.1358288481707686,423.0
1.1525322135850447,420.5
1.1692355789993207,418.5
1.1859389444135968,415.0
1.202642309827873,411.0
1.219345675242149,406.5
1.236049040656425,401.5
1.2527524060707012,397.0
1.2694557714849772,389.5
1.2861591368992533,382.5
1.3028625023135294,375.0
1.3195658677278055,368.0
1.3362692331420816,359.5
1.3529725985563577,350.5
1.3696759639706337,342.0
1.3863793293849098,333.0
1.403082694799186,323.0
1.419786060213462,314.0
1.436489425627738,304.5
1.4531927910420142,294.5
1.4698961564562902,285.0
1.4865995218705663,274.5
1.5033028872848424,264.0
1.5200062526991185,254.0
1.5367096181133946,245.0
1.5534129835276707,235.5
1.5701163489419467,226.5
1.5868197143562228,217.0
1.603523079770499,208.0
1.620226445184775,200.5
1.636929810599051,192.0
1.6536331760133272,186.0
1.6703365414276032,179.0
1.6870399068418793,173.0
1.7037432722561554,166.5
1.7204466376704315,162.0
1.7371500030847076,157.0
1.7538533684989837,153.0
1.7705567339132597,150.5
1.7872600993275358,147.5
1.803963464741812,145.5
1.820666830156088,144.5
1.837370195570364,144.0
1.8540735609846402,144.0
1.8707769263989162,145.0
1.8874802918131923,146.5
1.9041836572274684,148.5
1.9208870226417445,151.0
1.9375903880560206,154.5
1.9542937534702967,143.0
1.9709971188845727,163.0
1.9877004842988488,169.0
2.0044038497131247,174.0
2.0211072151274005,180.0
2.0378105805416764,187.5
2.0545139459559523,195.0
2.071217311370228,202.5
2.087920676784504,211.0
2.10462404219878,219.5
2.1213274076130557,228.5
2.1380307730273316,236.5
2.1547341384416074,246.0
2.1714375038558833,255.5
2.188140869270159,265.5
2.204844234684435,274.5
2.221547600098711,284.5
2.2382509655129867,294.0
2.2549543309272626,303.5
2.2716576963415385,313.0
2.2883610617558143,322.0
2.30506442717009,332.0
2.321767792584366,340.5
2.338471157998642,349.0
2.3551745234129178,358.0
2.3718778888271936,365.5
2.3885812542414695,372.5
2.4052846196557454,380.0
2.421987985070021,386.5
2.438691350484297,393.0
2.455394715898573,399.0
2.472098081312849,404.0
2.4888014467271247,408.0
2.5055048121414005,413.0
2.5222081775556764,416.0
2.5389115429699523,418.5
2.555614908384228,421.5
2.572318273798504,423.0
2.58902163921278,423.5
2.6057250046270557,424.0
2.6224283700413316,423.0
2.6391317354556074,422.0
2.6558351008698833,420.0
2.672538466284159,418.0
2.689241831698435,415.0
2.705945197112711,410.5
2.7226485625269867,407.0
2.7393519279412626,402.0
2.7560552933555384,397.5
2.7727586587698143,390.0
2.78946202418409,384.0
2.806165389598366,377.0
2.822868755012642,369.5
2.8395721204269178,362.0
2.8562754858411936,353.5
2.8729788512554695,344.5
2.8896822166697453,335.5
2.906385582084021,325.5
2.923088947498297,316.5
2.939792312912573,307.0
2.956495678326849,297.0
2.9731990437411246,287.0
2.9899024091554005,278.0
3.0066057745696764,267.0
3.0233091399839522,258.5
3.040012505398228,248.0
3.056715870812504,239.0
3.07341923622678,229.5
3.0901226016410557,220.0
3.1068259670553315,212.0
3.1235293324696074,204.0
3.1402326978838833,196.0
3.156936063298159,188.5
3.173639428712435,181.5
3.190342794126711,175.0
3.2070461595409867,169.5
3.2237495249552626,164.0
3.2404528903695384,159.5
3.2571562557838143,156.0
3.27385962119809,152.0
3.290562986612366,150.0
3.307266352026642,147.0
3.3239697174409177,146.0
3.3406730828551936,145.5
3.3573764482694695,145.0
3.3740798136837453,145.5
3.390783179098021,146.5
3.407486544512297,149.0
3.424189909926573,152.0
3.4408932753408488,155.0
3.4575966407551246,158.5
3.4743000061694005,163.5
3.4910033715836764,169.0
3.507706736997952,174.0
3.524410102412228,180.0
3.541113467826504,187.0
3.55781683324078,193.5
3.5745201986550557,201.0
3.5912235640693315,209.0
3.6079269294836074,217.5
3.6246302948978832,226.0
3.641333660312159,235.0
3.658037025726435,244.0
3.674740391140711,253.5
3.6914437565549867,262.5
3.7081471219692625,272.5
3.7248504873835384,282.0
3.7415538527978143,291.5
3.75825721821209,301.0
3.774960583626366,309.5
3.791663949040642,319.5
3.8083673144549177,328.5
3.8250706798691936,337.5
3.8417740452834694,345.5
3.8584774106977453,354.0
3.875180776112021,362.5
3.891884141526297,369.5
3.908587506940573,377.0
3.9252908723548487,384.0
3.9419942377691246,390.0
3.9586976031834005,396.5
3.9754009685976763,401.5
3.992104334011952,406.5
4.008807699426228,410.0
4.025511064840504,414.0
4.042214430254781,416.5
4.058917795669057,419.5
4.075621161083333,420.5
4.09232452649761,421.5
4.109027891911886,422.5
4.125731257326162,422.0
4.1424346227404385,421.0
4.159137988154715,420.0
4.175841353568991,417.5
4.192544718983267,414.5
4.209248084397544,411.0
4.22595144981182,407.0
4.242654815226096,402.5
4.259358180640373,397.5
4.276061546054649,391.5
4.292764911468925,385.5
4.3094682768832016,378.0
4.326171642297478,371.0
4.342875007711754,363.5
4.3595783731260305,355.0
4.376281738540307,346.5
4.392985103954583,337.5
4.409688469368859,328.5
4.426391834783136,319.0
4.443095200197412,309.5
4.459798565611688,300.0
4.476501931025965,290.0
4.493205296440241,280.5
4.509908661854517,270.5
4.5266120272687935,260.5
4.54331539268307,252.0
4.560018758097346,242.0
4.576722123511622,232.0
4.593425488925899,224.0
4.610128854340175,215.5
4.626832219754451,207.5
4.643535585168728,199.5
4.660238950583004,192.0
4.67694231599728,184.5
4.693645681411557,179.0
4.710349046825833,173.0
4.727052412240109,167.5
4.7437557776543855,162.5
4.760459143068662,158.5
4.777162508482938,155.0
4.793865873897214,153.0
4.810569239311491,149.5
4.827272604725767,148.5
4.843975970140043,147.5
4.86067933555432,146.5
4.877382700968596,147.5
4.894086066382872,148.0
4.9107894317971486,150.5
4.927492797211425,153.5
4.944196162625701,156.0
4.9608995280399775,159.0
4.977602893454254,163.0
4.99430625886853,169.0
5.011009624282806,174.0
5.027712989697083,179.5
5.044416355111359,186.0
5.061119720525635,193.0
5.077823085939912,199.5
5.094526451354188,208.5
5.111229816768464,215.5
5.1279331821827405,224.0
5.144636547597017,232.5
5.161339913011293,242.0
5.178043278425569,250.5
5.194746643839846,260.0
5.211450009254122,269.5
5.228153374668398,279.0
5.244856740082675,288.5
5.261560105496951,298.0
5.278263470911227,307.0
5.294966836325504,316.5
5.31167020173978,325.5
5.328373567154056,334.5
5.3450769325683325,343.0
5.361780297982609,351.0
5.378483663396885,359.5
5.395187028811161,367.0
5.411890394225438,374.0
